iter	Passed	Remaining
0	57	57612
1	57	28922
2	58	19349
3	58	14564
4	58	11692
5	59	9779
6	59	8410
7	59	7381
8	59	6581
9	60	5942
10	60	5418
11	60	4983
12	60	4614
13	61	4302
14	61	4025
15	61	3784
16	61	3572
17	62	3383
18	62	3216
19	62	3063
20	62	2926
21	63	2801
22	63	2687
23	63	2583
24	63	2494
25	64	2405
26	64	2322
27	64	2247
28	65	2177
29	65	2110
30	65	2048
31	65	1989
32	66	1935
33	66	1882
34	66	1834
35	66	1787
36	67	1744
37	67	1703
38	67	1664
39	67	1626
40	67	1590
41	68	1556
42	68	1523
43	68	1492
44	68	1462
45	69	1433
46	69	1406
47	69	1383
48	70	1359
49	70	1336
50	70	1312
51	70	1290
52	71	1269
53	71	1248
54	71	1229
55	71	1210
56	72	1192
57	72	1174
58	72	1158
59	72	1143
60	73	1126
61	73	1111
62	73	1095
63	73	1080
64	74	1066
65	74	1052
66	74	1040
67	74	1025
68	75	1012
69	75	1001
70	75	989
71	75	977
72	76	966
73	76	955
74	76	945
75	76	934
76	77	925
77	77	915
78	77	905
79	77	896
80	78	887
81	78	878
82	78	870
83	78	861
84	79	851
85	79	843
86	79	833
87	79	825
88	80	819
89	80	812
90	80	804
91	80	797
92	81	790
93	81	783
94	81	777
95	81	771
96	82	764
97	82	758
98	82	752
99	82	746
100	83	740
101	83	733
102	83	727
103	83	721
104	83	715
105	84	710
106	84	704
107	84	700
108	85	695
109	85	690
110	85	685
111	85	680
112	86	675
113	86	670
114	86	665
115	86	660
116	86	656
117	87	652
118	87	647
119	87	642
120	87	638
121	88	634
122	88	628
123	88	624
124	88	620
125	88	616
126	89	612
127	89	608
128	89	604
129	89	600
130	89	596
131	90	593
132	90	589
133	90	586
134	90	582
135	91	579
136	91	576
137	91	572
138	91	569
139	92	565
140	92	562
141	92	559
142	92	556
143	93	553
144	93	550
145	93	547
146	93	544
147	94	541
148	94	538
149	94	535
150	94	532
151	95	530
152	95	527
153	95	524
154	95	522
155	96	519
156	96	517
157	96	514
158	96	511
159	96	509
160	97	506
161	97	504
162	97	501
163	97	499
164	98	497
165	98	494
166	98	492
167	98	490
168	99	487
169	99	485
170	99	483
171	99	481
172	100	479
173	100	476
174	100	474
175	100	472
176	101	470
177	101	468
178	101	467
179	102	465
180	102	462
181	102	461
182	102	459
183	103	457
184	103	455
185	103	453
186	103	451
187	104	449
188	104	447
189	104	446
190	104	444
191	105	442
192	105	440
193	105	438
194	106	438
195	106	436
196	106	434
197	106	432
198	107	431
199	107	430
200	107	428
201	107	426
202	108	424
203	108	423
204	108	421
205	108	419
206	109	417
207	109	416
208	109	414
209	109	412
210	109	411
211	110	409
212	110	407
213	110	406
214	110	404
215	111	403
216	111	401
217	111	399
218	111	398
219	112	397
220	112	395
221	112	394
222	112	392
223	112	391
224	113	389
225	113	388
226	113	387
227	113	385
228	114	384
229	114	382
230	114	381
231	114	379
232	114	378
233	115	377
234	115	375
235	115	374
236	115	373
237	116	371
238	116	370
239	116	369
240	116	367
241	117	366
242	117	365
243	117	364
244	117	362
245	117	361
246	118	360
247	118	359
248	118	358
249	119	357
250	119	355
251	119	354
252	119	353
253	119	352
254	120	350
255	120	349
256	120	348
257	120	347
258	121	346
259	121	345
260	121	343
261	121	343
262	122	341
263	122	340
264	122	339
265	122	338
266	122	337
267	123	336
268	123	335
269	123	334
270	123	333
271	124	331
272	124	330
273	124	329
274	124	329
275	125	328
276	125	327
277	125	326
278	125	325
279	126	324
280	126	323
281	126	322
282	126	321
283	127	320
284	127	319
285	127	318
286	127	317
287	127	316
288	128	315
289	128	314
290	128	313
291	128	312
292	129	311
293	129	310
294	130	311
295	130	311
296	131	310
297	131	309
298	131	308
299	131	307
300	131	306
301	132	305
302	132	304
303	132	303
304	132	302
305	133	301
306	133	300
307	133	299
308	133	299
309	133	298
310	134	297
311	134	296
312	134	295
313	134	294
314	135	293
315	135	292
316	135	292
317	135	291
318	136	290
319	136	289
320	136	288
321	136	287
322	137	287
323	137	286
324	137	285
325	137	285
326	138	284
327	138	283
328	138	283
329	138	282
330	139	281
331	139	280
332	139	279
333	139	279
334	140	278
335	140	277
336	140	276
337	140	275
338	141	275
339	141	274
340	141	273
341	141	272
342	142	272
343	142	271
344	142	270
345	142	269
346	142	269
347	143	268
348	143	267
349	143	266
350	143	265
351	144	265
352	144	264
353	144	263
354	144	262
355	144	262
356	145	261
357	145	260
358	145	259
359	145	259
360	146	258
361	146	257
362	146	256
363	146	256
364	146	255
365	147	254
366	147	254
367	147	253
368	147	252
369	147	251
370	148	251
371	148	250
372	148	249
373	148	249
374	149	248
375	149	247
376	149	247
377	149	246
378	149	245
379	150	245
380	150	244
381	150	243
382	150	242
383	151	242
384	151	241
385	151	241
386	151	240
387	151	239
388	152	239
389	152	238
390	152	237
391	152	237
392	153	236
393	153	235
394	153	235
395	153	234
396	154	234
397	154	233
398	154	232
399	154	232
400	155	231
401	155	230
402	155	230
403	155	229
404	156	229
405	156	228
406	156	227
407	156	227
408	157	226
409	157	226
410	157	225
411	157	225
412	157	224
413	158	223
414	158	223
415	158	222
416	158	222
417	159	221
418	159	220
419	159	220
420	159	219
421	159	219
422	160	218
423	160	217
424	160	217
425	160	216
426	161	216
427	161	215
428	161	215
429	161	214
430	162	213
431	162	213
432	162	212
433	162	212
434	163	211
435	163	211
436	163	210
437	163	210
438	164	209
439	164	209
440	164	208
441	164	208
442	165	207
443	165	207
444	165	206
445	166	206
446	166	205
447	166	205
448	166	204
449	167	204
450	167	203
451	167	203
452	167	202
453	168	202
454	168	201
455	168	201
456	168	200
457	169	200
458	169	199
459	169	199
460	169	198
461	170	198
462	170	197
463	170	197
464	170	196
465	171	196
466	171	195
467	171	195
468	172	194
469	172	194
470	172	194
471	173	193
472	173	193
473	173	192
474	173	192
475	174	191
476	174	191
477	174	190
478	174	190
479	175	189
480	175	189
481	175	188
482	175	188
483	176	187
484	176	187
485	176	187
486	177	186
487	177	186
488	177	185
489	177	185
490	178	184
491	178	184
492	178	183
493	179	183
494	179	182
495	179	182
496	179	181
497	180	181
498	180	181
499	180	180
500	180	180
501	181	179
502	181	179
503	181	178
504	181	178
505	182	177
506	182	177
507	182	177
508	183	176
509	183	176
510	183	175
511	184	175
512	184	174
513	184	174
514	184	174
515	185	173
516	185	173
517	185	172
518	185	172
519	186	171
520	186	171
521	186	171
522	187	170
523	187	170
524	187	169
525	187	169
526	188	168
527	188	168
528	188	168
529	188	167
530	189	167
531	189	166
532	189	166
533	190	165
534	190	165
535	190	165
536	190	164
537	191	164
538	191	163
539	191	163
540	191	162
541	192	162
542	192	161
543	192	161
544	192	161
545	193	160
546	193	160
547	194	160
548	194	159
549	194	159
550	195	158
551	195	158
552	195	158
553	195	157
554	196	157
555	196	156
556	196	156
557	196	155
558	197	155
559	197	155
560	197	154
561	198	154
562	198	154
563	198	153
564	199	153
565	199	152
566	199	152
567	200	152
568	200	151
569	200	151
570	200	150
571	201	150
572	201	150
573	201	149
574	202	149
575	202	149
576	202	148
577	203	148
578	203	147
579	203	147
580	203	147
581	204	146
582	204	146
583	204	145
584	204	145
585	205	144
586	205	144
587	205	144
588	206	143
589	206	143
590	206	142
591	206	142
592	207	142
593	207	141
594	207	141
595	207	140
596	208	140
597	208	140
598	208	139
599	208	139
600	209	138
601	209	138
602	209	138
603	209	137
604	210	137
605	210	136
606	210	136
607	210	136
608	211	135
609	211	135
610	211	134
611	212	134
612	212	134
613	212	133
614	212	133
615	213	132
616	213	132
617	213	132
618	214	131
619	214	131
620	214	131
621	215	130
622	215	130
