iter	Passed	Remaining
0	60	60924
1	61	30616
2	61	20491
3	61	15429
4	62	12395
5	62	10374
6	62	8923
7	63	7839
8	63	6997
9	63	6326
10	64	5771
11	64	5311
12	64	4923
13	65	4591
14	65	4300
15	65	4044
16	66	3823
17	66	3633
18	67	3460
19	67	3299
20	67	3154
21	67	3021
22	68	2900
23	68	2791
24	69	2696
25	69	2601
26	69	2515
27	70	2434
28	70	2362
29	71	2295
30	71	2234
31	72	2178
32	72	2125
33	72	2073
34	73	2019
35	73	1968
36	73	1921
37	74	1876
38	74	1834
39	74	1797
40	75	1758
41	75	1722
42	75	1687
43	76	1652
44	76	1620
45	76	1589
46	76	1559
47	77	1531
48	77	1505
49	77	1481
50	78	1456
51	78	1432
52	78	1409
53	79	1387
54	79	1364
55	79	1345
56	80	1324
57	80	1304
58	80	1285
59	80	1267
60	81	1249
61	81	1232
62	81	1215
63	82	1199
64	82	1183
65	82	1167
66	82	1153
67	83	1138
68	83	1124
69	83	1111
70	83	1098
71	84	1085
72	84	1073
73	84	1061
74	85	1048
75	85	1037
76	85	1025
77	85	1015
78	86	1004
79	86	994
80	86	984
81	87	974
82	87	963
83	87	953
84	87	945
85	88	937
86	88	929
87	88	921
88	89	914
89	89	906
90	89	899
91	90	891
92	90	883
93	91	877
94	91	870
95	91	862
96	91	855
97	92	849
98	92	841
99	92	834
100	93	828
101	93	822
102	93	815
103	93	809
104	94	806
105	94	800
106	95	794
107	95	789
108	95	784
109	96	779
110	96	773
111	96	768
112	97	762
113	97	757
114	97	751
115	97	746
116	98	741
117	98	736
118	98	731
119	99	726
120	99	721
121	99	715
122	99	710
123	100	706
124	100	701
125	100	697
126	100	691
127	100	687
128	101	683
129	101	679
130	101	674
131	101	670
132	102	666
133	102	661
134	102	657
135	103	655
136	103	651
137	103	648
138	104	645
139	104	642
140	104	638
141	104	634
142	105	631
143	105	629
144	106	626
145	106	622
146	106	619
147	107	616
148	107	613
149	107	610
150	107	606
151	108	603
152	108	600
153	108	596
154	108	593
155	109	590
156	109	587
157	109	584
158	109	581
159	110	578
160	110	575
161	110	572
162	110	569
163	111	566
164	111	564
165	111	561
166	112	559
167	112	556
168	112	554
169	112	551
170	113	548
171	113	546
172	113	543
173	114	541
174	114	538
175	114	536
176	114	534
177	115	531
178	115	529
179	115	527
180	116	525
181	116	523
182	116	521
183	117	520
184	117	519
185	118	517
186	118	516
187	119	514
188	119	512
189	119	510
190	120	509
191	120	508
192	121	507
193	121	506
194	122	505
195	122	504
196	123	502
197	123	500
198	123	498
199	124	496
200	124	494
201	124	492
202	125	491
203	125	489
204	125	487
205	125	485
206	126	483
207	126	482
208	127	480
209	127	479
210	127	477
211	127	475
212	128	473
213	128	471
214	128	469
215	128	468
216	129	466
217	129	464
218	129	462
219	129	460
220	130	458
221	130	457
222	130	455
223	130	453
224	131	451
225	131	450
226	131	448
227	132	447
228	132	445
229	132	444
230	133	442
231	133	442
232	133	440
233	134	438
234	134	437
235	134	435
236	134	433
237	134	432
238	135	430
239	135	428
240	135	427
241	135	425
242	136	424
243	136	422
244	136	422
245	137	421
246	138	421
247	139	422
248	139	420
249	139	419
250	140	418
251	140	416
252	140	415
253	141	414
254	141	413
255	142	412
256	142	412
257	143	411
258	143	410
259	143	409
260	144	408
261	144	406
262	144	405
263	145	404
264	145	403
265	145	402
266	145	400
267	146	399
268	146	398
269	146	397
270	147	396
271	147	395
272	147	393
273	148	393
274	148	392
275	149	391
276	149	390
277	150	390
278	150	389
279	151	388
280	151	387
281	151	386
282	152	385
283	152	384
284	153	384
285	153	383
286	154	382
287	154	381
288	154	381
289	155	380
290	155	379
291	155	378
292	156	377
293	156	375
294	156	374
295	157	373
296	157	372
297	157	371
298	158	370
299	158	369
300	158	368
301	159	367
302	159	366
303	159	365
304	159	364
305	160	363
306	160	362
307	160	361
308	161	360
309	161	359
310	161	358
311	162	357
312	162	356
313	162	355
314	163	354
315	163	354
316	164	353
317	164	352
318	164	351
319	165	350
320	165	350
321	165	349
322	166	348
323	166	347
324	167	347
325	167	346
326	167	345
327	168	344
328	168	343
329	168	342
330	169	341
331	169	340
332	169	339
333	170	339
334	170	338
335	170	337
336	170	336
337	171	335
338	171	334
339	171	333
340	171	332
341	172	331
342	172	330
343	172	329
344	173	328
345	173	327
346	173	327
347	174	326
348	174	325
349	174	324
350	175	323
351	175	322
352	175	322
353	176	321
354	176	320
355	176	319
356	177	318
357	177	318
358	177	317
359	178	316
360	178	315
361	178	315
362	179	314
363	179	313
364	179	313
365	180	312
366	180	311
367	180	310
368	181	309
369	181	308
370	181	308
371	182	307
372	182	306
373	182	306
374	183	305
375	183	304
376	183	304
377	184	303
378	184	302
379	184	301
380	185	300
381	185	299
382	185	299
383	185	298
384	186	297
385	186	296
386	186	295
387	187	295
388	187	294
389	187	293
390	187	292
391	188	291
392	188	291
393	188	290
394	189	289
395	189	288
396	189	288
397	190	287
398	190	286
399	190	285
400	190	285
401	191	284
402	191	283
403	191	283
404	192	282
405	192	281
406	192	281
407	193	280
408	193	279
409	194	279
410	194	278
411	194	277
412	194	277
413	195	276
414	195	275
415	195	275
416	196	274
417	196	273
418	197	273
419	197	272
420	197	271
421	198	271
422	198	270
423	198	269
424	198	269
425	199	268
426	199	267
427	199	267
428	200	266
429	200	265
430	200	264
431	200	264
432	201	263
433	201	262
434	201	261
435	201	261
436	202	260
437	202	259
438	202	259
439	202	258
440	203	257
441	203	256
442	203	256
443	204	255
444	204	254
445	204	254
446	204	253
447	205	252
448	205	252
449	205	251
450	205	250
451	206	249
452	206	249
453	206	248
454	207	248
455	207	247
456	207	246
457	207	246
458	208	245
459	208	245
460	209	244
461	209	243
462	209	243
463	209	242
464	210	242
465	210	241
466	210	240
467	211	240
468	211	239
469	212	239
470	212	238
471	212	237
472	213	237
473	213	236
474	213	236
475	214	235
476	214	235
477	214	234
478	214	233
479	215	233
480	215	232
481	215	231
482	216	231
483	216	230
484	216	230
485	216	229
486	217	228
487	217	228
488	217	227
489	218	227
490	218	226
491	218	225
492	219	225
493	219	224
494	219	224
495	219	223
496	220	222
497	220	222
498	220	221
499	221	221
500	221	220
501	221	219
502	221	219
503	222	218
504	222	218
505	222	217
506	223	216
507	223	216
